SKU,Model,In_transit,Total_preorders,Stock,RSP,ETA_Almaty
4430860,Сетев. Углошлифмашина Einhell TE-AG 125 CE (4430860),0,54,15,43900,
4430870,Сетев. Углошлифмашина Einhell TE-AG 230 (4430870),-50,50,18,78200,
4430880,Сетев. Углошлифмашина Einhell TE-AG 125/750 (4430880),-50,0,52,34000,
4430885,Сетев. Углошлифмашина Einhell TE-AG 125/750 Kit (4430885),0,0,85,37400,
4430890,Сетев. Углошлифмашина Einhell TE-AG 125/1010 CE Q (4430890),-37,0,23,51000,
4430960,Сетев. Углошлифмашина Einhell TC-AG 115/750 (4430960),0,0,0,23800,
4431044,Стойка для УШМ Einhell TS 115/125 (4431044),0,0,0,25800,
4431051,Стойка для УШМ Einhell TS 230/1 (4431051),0,0,1,44200,
49795505,2 шлифовальных круга 115 K 40/80 Einhell 2 Schleifmop 115 K 40/80 (49795505),0,0,0,6800,
49795705,2 шлифовальных круга 125 K 40/80 Einhell 2 Schleifmop 125 K 40/80 (49795705),0,0,0,7500,
49795805,2 шлифовальных круга 150 K 40/80 Einhell 2 Schleifmop 150 K 40/80 (49795805),0,0,0,13600,
49797605,"Алмазные отрезные диски 230 мм, 2 шт. Einhell DIA-Trennsch-Set 230mm 2-tlg. (49797605)",0,0,0,29200,
49711944,"10 тонких отрезных дисков 115x1,0 Einhell 10 Trennschei. dünn 115x1,0 (49711944)",0,0,0,12200,
49711945,"10 тонких отрезных дисков 125x1,0 Einhell 10 Trennschei. dünn 125x1,0 (49711945)",0,0,0,12900,
49711946,"5 тонких отрезных дисков 150x1,4 Einhell 5 Trennscheiben dünn 150x1,4 (49711946)",0,0,0,11500,
49711949,"Набор тонких отрезных дисков 230 мм, 5 шт. Einhell Trennsch-Dünn-Set 230 5-tlg. (49711949)",0,0,0,17000,
49717705,Быстрозажимная гайка M14 Einhell M14 Schnellspannmutter (49717705),0,0,0,8100,
49721150,"Алмазный тонкий отрезной диск 115x1,2 Einhell DIA-Trennsch dünn 115x1,2 (49721150)",0,0,0,17600,
49721550,"Алмазный тонкий отрезной диск 150x1,6 Einhell DIA-Trennsch dünn 150x1,6 (49721550)",0,0,0,21700,
49724550,"Алмазный тонкий отрезной диск 125x1,4 Einhell DIA-Trennsch dünn 125x1,4 (49724550)",0,0,0,19000,
4465185,Сетев. Реноватор Einhell TC-MG 250 CE (4465185),0,50,7,37400,
49708750,Набор оснастки для реноватора Einhell Multitool Set tiles 4pcs (49708750),0,0,2,17000,
49708850,"Набор оснастки для реноватора Einhell Multi-Tool-Set Ho,Ku 4tlg. (49708850)",0,0,0,17000,
